data;1 Ano;2 Anos;3 Anos;4 Anos;5 Anos;6 Anos;7 Anos;8 Anos;9 Anos;10 Anos;11 Anos;12 Anos;13 Anos;14 Anos;15 Anos
04/01/2021;2,93;4,40;5,22;5,73;6,10;6,40;6,66;6,89;7,10;7,28;7,43;7,60;7,71;7,85;7,94
05/01/2021;2,98;4,50;5,34;5,85;6,21;6,51;6,76;6,98;7,18;7,35;7,49;7,65;7,76;7,88;7,97
06/01/2021;3,03;4,61;5,48;6,02;6,41;6,71;6,97;7,20;7,40;7,57;7,71;7,86;7,97;8,09;8,17
07/01/2021;3,13;4,80;5,72;6,28;6,68;7,01;7,29;7,53;7,74;7,93;8,08;8,24;8,36;8,49;8,58
08/01/2021;3,20;4,90;5,82;6,38;6,78;7,09;7,35;7,57;7,76;7,94;8,07;8,22;8,32;8,44;8,52
11/01/2021;3,35;5,10;6,06;6,63;7,01;7,30;7,54;7,74;7,92;8,07;8,19;8,32;8,41;8,51;8,58
12/01/2021;3,31;5,02;5,95;6,50;6,87;7,16;7,40;7,61;7,79;7,94;8,07;8,21;8,30;8,41;8,48
13/01/2021;3,44;5,23;6,18;6,72;7,07;7,34;7,55;7,73;7,89;8,03;8,14;8,26;8,34;8,44;8,51
14/01/2021;3,43;5,24;6,07;6,56;6,89;7,13;7,34;7,51;7,67;7,81;7,92;8,04;8,13;8,23;8,31
15/01/2021;3,54;5,30;6,10;6,57;6,88;7,11;7,32;7,50;7,66;7,81;7,93;8,06;8,16;8,27;8,36
18/01/2021;3,45;5,25;6,07;6,53;6,84;7,08;7,29;7,48;7,65;7,81;7,94;8,09;8,20;8,32;8,42
20/01/2021;3,41;5,24;6,10;6,58;6,91;7,17;7,40;7,61;7,80;7,99;8,13;8,30;8,43;8,57;8,68
21/01/2021;3,55;5,41;6,25;6,72;7,04;7,31;7,56;7,80;8,02;8,23;8,40;8,61;8,75;8,92;9,07
22/01/2021;3,53;5,46;6,39;6,90;7,26;7,55;7,81;8,05;8,27;8,48;8,66;8,85;8,99;9,16;9,30
27/01/2021;3,63;5,36;6,21;6,69;7,02;7,30;7,54;7,77;7,98;8,18;8,35;8,54;8,68;8,84;8,97
29/01/2021;3,54;5,14;5,97;6,45;6,79;7,07;7,34;7,58;7,81;8,02;8,21;8,40;8,55;8,74;8,88
01/02/2021;3,60;5,20;6,01;6,47;6,79;7,07;7,32;7,55;7,77;7,98;8,16;8,36;8,50;8,69;8,82
02/02/2021;3,57;5,13;5,93;6,38;6,70;6,98;7,23;7,46;7,68;7,89;8,11;8,27;8,42;8,60;8,74
03/02/2021;3,58;5,11;5,90;6,36;6,70;6,98;7,25;7,53;7,77;7,97;8,19;8,36;8,52;8,71;8,85
04/02/2021;3,62;5,21;6,03;6,50;6,84;7,12;7,38;7,65;7,87;8,08;8,27;8,45;8,61;8,75;8,88
05/02/2021;3,70;5,31;6,07;6,51;6,82;7,13;7,36;7,63;7,86;8,08;8,28;8,47;8,65;8,80;8,95
08/02/2021;3,68;5,30;6,14;6,57;6,90;7,21;7,43;7,70;7,93;8,14;8,33;8,51;8,68;8,82;8,96
09/02/2021;3,69;5,35;6,22;6,66;7,00;7,30;7,54;7,77;7,98;8,17;8,35;8,51;8,66;8,80;8,92
10/02/2021;3,63;5,26;6,15;6,63;6,99;7,30;7,56;7,79;8,01;8,21;8,39;8,55;8,71;8,84;8,97
11/02/2021;3,61;5,26;6,17;6,66;7,02;7,34;7,60;7,83;8,05;8,25;8,43;8,60;8,75;8,88;9,01
12/02/2021;3,65;5,34;6,26;6,79;7,15;7,43;7,68;7,90;8,11;8,30;8,47;8,62;8,77;8,89;9,01
17/02/2021;3,77;5,49;6,38;6,91;7,26;7,54;7,79;8,01;8,22;8,41;8,57;8,73;8,87;9,00;9,12
18/02/2021;3,77;5,49;6,38;6,90;7,25;7,51;7,75;7,95;8,14;8,31;8,46;8,61;8,74;8,85;8,96
