"";"data";"rating";"vertice";"valor";"indexador"
"1";2020-01-31;"AAA";"1";0,6727;"DI+"
"2";2020-01-31;"AAA";"2";0,8809;"DI+"
"3";2020-01-31;"AAA";"3";1,0179;"DI+"
"4";2020-01-31;"AAA";"4";1,111;"DI+"
"5";2020-01-31;"AAA";"5";1,1765;"DI+"
"6";2020-01-31;"AAA";"6";1,224;"DI+"
"7";2020-01-31;"AAA";"7";1,2596;"DI+"
"8";2020-01-31;"AAA";"8";1,287;"DI+"
"9";2020-01-31;"AAA";"9";1,3086;"DI+"
"10";2020-01-31;"AAA";"10";1,326;"DI+"
"11";2020-01-31;"AAA";"11";1,3404;"DI+"
"12";2020-01-31;"AAA";"12";1,3523;"DI+"
"13";2020-01-31;"AAA";"13";1,3624;"DI+"
"14";2020-01-31;"AAA";"14";1,3711;"DI+"
"15";2020-01-31;"AAA";"15";1,3786;"DI+"
"16";2020-02-29;"AAA";"1";0,6724;"DI+"
"17";2020-02-29;"AAA";"2";0,895;"DI+"
"18";2020-02-29;"AAA";"3";1,0497;"DI+"
"19";2020-02-29;"AAA";"4";1,1598;"DI+"
"20";2020-02-29;"AAA";"5";1,2401;"DI+"
"21";2020-02-29;"AAA";"6";1,3;"DI+"
"22";2020-02-29;"AAA";"7";1,3459;"DI+"
"23";2020-02-29;"AAA";"8";1,3816;"DI+"
"24";2020-02-29;"AAA";"9";1,4102;"DI+"
"25";2020-02-29;"AAA";"10";1,4333;"DI+"
"26";2020-02-29;"AAA";"11";1,4524;"DI+"
"27";2020-02-29;"AAA";"12";1,4684;"DI+"
"28";2020-02-29;"AAA";"13";1,482;"DI+"
"29";2020-02-29;"AAA";"14";1,4936;"DI+"
"30";2020-02-29;"AAA";"15";1,5038;"DI+"
"31";2020-01-31;"AAA";"1";1,752;"DI+"
"32";2020-01-31;"AAA";"2";2,3053;"DI+"
"33";2020-01-31;"AAA";"3";2,6063;"DI+"
"34";2020-01-31;"AAA";"4";2,7845;"DI+"
"35";2020-01-31;"AAA";"5";2,8983;"DI+"
"36";2020-01-31;"AAA";"6";2,9761;"DI+"
"37";2020-01-31;"AAA";"7";3,0321;"DI+"
"38";2020-01-31;"AAA";"8";3,0743;"DI+"
"39";2020-01-31;"AAA";"9";3,1072;"DI+"
"40";2020-01-31;"AAA";"10";3,1334;"DI+"
"41";2020-01-31;"AAA";"11";3,1549;"DI+"
"42";2020-01-31;"AAA";"12";3,1729;"DI+"
"43";2020-01-31;"AAA";"13";3,188;"DI+"
"44";2020-01-31;"AAA";"14";3,201;"DI+"
"45";2020-01-31;"AAA";"15";3,2123;"DI+"
"46";2020-02-29;"AAA";"1";2,2227;"DI+"
"47";2020-02-29;"AAA";"2";2,6531;"DI+"
"48";2020-02-29;"AAA";"3";2,844;"DI+"
"49";2020-02-29;"AAA";"4";2,9453;"DI+"
"50";2020-02-29;"AAA";"5";3,0069;"DI+"
"51";2020-02-29;"AAA";"6";3,048;"DI+"
"52";2020-02-29;"AAA";"7";3,0775;"DI+"
"53";2020-02-29;"AAA";"8";3,0995;"DI+"
"54";2020-02-29;"AAA";"9";3,1167;"DI+"
"55";2020-02-29;"AAA";"10";3,1304;"DI+"
"56";2020-02-29;"AAA";"11";3,1416;"DI+"
"57";2020-02-29;"AAA";"12";3,151;"DI+"
"58";2020-02-29;"AAA";"13";3,1589;"DI+"
"59";2020-02-29;"AAA";"14";3,1657;"DI+"
"60";2020-02-29;"AAA";"15";3,1716;"DI+"
"61";2020-03-31;"AAA";"1";2,2861;"DI+"
"62";2020-03-31;"AAA";"2";2,6662;"DI+"
"63";2020-03-31;"AAA";"3";2,8087;"DI+"
"64";2020-03-31;"AAA";"4";2,8808;"DI+"
"65";2020-03-31;"AAA";"5";2,9241;"DI+"
"66";2020-03-31;"AAA";"6";2,9529;"DI+"
"67";2020-03-31;"AAA";"7";2,9735;"DI+"
"68";2020-03-31;"AAA";"8";2,989;"DI+"
"69";2020-03-31;"AAA";"9";3,001;"DI+"
"70";2020-03-31;"AAA";"10";3,0106;"DI+"
"71";2020-03-31;"AAA";"11";3,0185;"DI+"
"72";2020-03-31;"AAA";"12";3,025;"DI+"
"73";2020-03-31;"AAA";"13";3,0306;"DI+"
"74";2020-03-31;"AAA";"14";3,0353;"DI+"
"75";2020-03-31;"AAA";"15";3,0394;"DI+"
"76";2020-04-30;"AAA";"1";2,0673;"DI+"
"77";2020-04-30;"AAA";"2";2,3832;"DI+"
"78";2020-04-30;"AAA";"3";2,498;"DI+"
"79";2020-04-30;"AAA";"4";2,5557;"DI+"
"80";2020-04-30;"AAA";"5";2,5903;"DI+"
"81";2020-04-30;"AAA";"6";2,6134;"DI+"
"82";2020-04-30;"AAA";"7";2,6299;"DI+"
"83";2020-04-30;"AAA";"8";2,6423;"DI+"
"84";2020-04-30;"AAA";"9";2,6519;"DI+"
"85";2020-04-30;"AAA";"10";2,6596;"DI+"
"86";2020-04-30;"AAA";"11";2,6659;"DI+"
"87";2020-04-30;"AAA";"12";2,6711;"DI+"
"88";2020-04-30;"AAA";"13";2,6756;"DI+"
"89";2020-04-30;"AAA";"14";2,6794;"DI+"
"90";2020-04-30;"AAA";"15";2,6827;"DI+"
"91";2020-05-31;"AAA";"1";1,6311;"DI+"
"92";2020-05-31;"AAA";"2";1,9725;"DI+"
"93";2020-05-31;"AAA";"3";2,2195;"DI+"
"94";2020-05-31;"AAA";"4";2,4014;"DI+"
"95";2020-05-31;"AAA";"5";2,5378;"DI+"
"96";2020-05-31;"AAA";"6";2,6421;"DI+"
"97";2020-05-31;"AAA";"7";2,7233;"DI+"
"98";2020-05-31;"AAA";"8";2,7876;"DI+"
"99";2020-05-31;"AAA";"9";2,8393;"DI+"
"100";2020-05-31;"AAA";"10";2,8817;"DI+"
"101";2020-05-31;"AAA";"11";2,9169;"DI+"
"102";2020-05-31;"AAA";"12";2,9464;"DI+"
"103";2020-05-31;"AAA";"13";2,9716;"DI+"
"104";2020-05-31;"AAA";"14";2,9932;"DI+"
"105";2020-05-31;"AAA";"15";3,012;"DI+"
"106";2020-06-30;"AAA";"1";1,6567;"DI+"
"107";2020-06-30;"AAA";"2";1,9474;"DI+"
"108";2020-06-30;"AAA";"3";2,0898;"DI+"
"109";2020-06-30;"AAA";"4";2,1691;"DI+"
"110";2020-06-30;"AAA";"5";2,2181;"DI+"
"111";2020-06-30;"AAA";"6";2,2511;"DI+"
"112";2020-06-30;"AAA";"7";2,2748;"DI+"
"113";2020-06-30;"AAA";"8";2,2925;"DI+"
"114";2020-06-30;"AAA";"9";2,3063;"DI+"
"115";2020-06-30;"AAA";"10";2,3173;"DI+"
"116";2020-06-30;"AAA";"11";2,3263;"DI+"
"117";2020-06-30;"AAA";"12";2,3339;"DI+"
"118";2020-06-30;"AAA";"13";2,3402;"DI+"
"119";2020-06-30;"AAA";"14";2,3457;"DI+"
"120";2020-06-30;"AAA";"15";2,3504;"DI+"
"121";2020-07-31;"AAA";"1";1,6672;"DI+"
"122";2020-07-31;"AAA";"2";1,9193;"DI+"
"123";2020-07-31;"AAA";"3";2,0241;"DI+"
"124";2020-07-31;"AAA";"4";2,0785;"DI+"
"125";2020-07-31;"AAA";"5";2,1113;"DI+"
"126";2020-07-31;"AAA";"6";2,1332;"DI+"
"127";2020-07-31;"AAA";"7";2,1488;"DI+"
"128";2020-07-31;"AAA";"8";2,1606;"DI+"
"129";2020-07-31;"AAA";"9";2,1697;"DI+"
"130";2020-07-31;"AAA";"10";2,177;"DI+"
"131";2020-07-31;"AAA";"11";2,183;"DI+"
"132";2020-07-31;"AAA";"12";2,1879;"DI+"
"133";2020-07-31;"AAA";"13";2,1921;"DI+"
"134";2020-07-31;"AAA";"14";2,1957;"DI+"
"135";2020-07-31;"AAA";"15";2,1989;"DI+"
"136";2020-08-31;"AAA";"1";1,7223;"DI+"
"137";2020-08-31;"AAA";"2";1,9291;"DI+"
"138";2020-08-31;"AAA";"3";2,0051;"DI+"
"139";2020-08-31;"AAA";"4";2,0433;"DI+"
"140";2020-08-31;"AAA";"5";2,0663;"DI+"
"141";2020-08-31;"AAA";"6";2,0816;"DI+"
"142";2020-08-31;"AAA";"7";2,0925;"DI+"
